Size, Algo, Time
10, DP, 0.0010273379994032439
10, DP, 0.0020824919993174262
10, DP, 0.0018503449973650277
10, DP, 0.0019512879989633802
10, DP, 0.003015272999618901
50, DP, 0.010923266996542225
50, DP, 0.01970416699987254
50, DP, 0.04404071699900669
50, DP, 0.0015164069991442375
50, DP, 0.00450457999977516
100, DP, 0.06694433599841432
100, DP, 0.15101991300252848
100, DP, 0.15628643599848147
100, DP, 0.053255617000104394
100, DP, 0.09493450299851247
500, DP, 3.174775856001361
500, DP, 2.8687782870001683
500, DP, 0.7367919279968191
500, DP, 3.8004068000009283
500, DP, 1.4594571650013677
1000, DP, 13.449593298999389
1000, DP, 1.0523897970015241
1000, DP, 10.8839055799981
1000, DP, 0.5735813739993318
1000, DP, 7.431900418003352
1500, DP, 0.7911796280022827
1500, DP, 19.753056466001
1500, DP, 34.05939753599887
1500, DP, 14.771064330001536
1500, DP, 8.642801114998292

Size, Algo, Time
10, BF, 0.035933511000621365
10, BF, 0.0004204180004308
10, BF, 0.0004345300003478769
10, BF, 0.0004152569999860134
10, BF, 4.832400009036064e-05
15, BF, 0.007399550002446631
15, BF, 0.0005645759993058164
15, BF, 6.896900231367908e-05
15, BF, 0.0001897449983516708
15, BF, 0.0010933820012724027
20, BF, 0.26023836899912567
20, BF, 0.2571008740014804
20, BF, 3.144899892504327e-05
20, BF, 0.21184948399968562
20, BF, 0.005068501999630826
22, BF, 0.1538354470030754
22, BF, 0.17929402699883212
22, BF, 0.07839874500132282
22, BF, 0.04675792800117051
22, BF, 0.8492418139976508
25, BF, 8.212043339997763
25, BF, 3.871264617999259
25, BF, 8.828024620997894
25, BF, 9.980199683923274e-05
25, BF, 0.064882418999332
28, BF, 1.6055496109984233
28, BF, 0.1164296099996136
28, BF, 4.426800296641886e-05
28, BF, 74.82833123000091
28, BF, 0.008110667000437388

Size, Algo, Time
10, Greedy Search, 2.9584000003524125e-05
10, Greedy Search, 2.806699922075495e-05
10, Greedy Search, 2.09319987334311e-05
10, Greedy Search, 2.5017998268594965e-05
10, Greedy Search, 2.3660999431740493e-05
50, Greedy Search, 9.766900257091038e-05
50, Greedy Search, 5.3204999858280644e-05
50, Greedy Search, 0.00010296699838363566
50, Greedy Search, 9.796200174605474e-05
50, Greedy Search, 0.00013182499969843775
100, Greedy Search, 0.00043164700036868453
100, Greedy Search, 0.00016631199832772836
100, Greedy Search, 0.00026278000223101117
100, Greedy Search, 0.000236443000176223
100, Greedy Search, 7.702099901507609e-05
500, Greedy Search, 0.00022395899941329844
500, Greedy Search, 0.001554859001771547
500, Greedy Search, 0.0006732639994879719
500, Greedy Search, 0.0015369819993793499
500, Greedy Search, 0.0021839370019733906
1000, Greedy Search, 0.005827929002407473
1000, Greedy Search, 0.0005129029996169265
1000, Greedy Search, 0.0040424329999950714
1000, Greedy Search, 0.0008494989997416269
1000, Greedy Search, 0.004043427001306554
1500, Greedy Search, 0.005955044998700032
1500, Greedy Search, 0.005159629999980098
1500, Greedy Search, 0.012656350998440757
1500, Greedy Search, 0.0013973739987704903
1500, Greedy Search, 0.012694259999989299

Size, Algo, Time, MAX_threshold
10, Random Search, 0.006485022000561003, 1000
10, Random Search, 0.009448608998354757, 1000
10, Random Search, 0.006280550998781109, 1000
10, Random Search, 0.018426899001497077, 1000
10, Random Search, 0.014584759999706876, 1000
50, Random Search, 0.037040093000541674, 1000
50, Random Search, 0.027946800997597165, 1000
50, Random Search, 0.028626710001844913, 1000
50, Random Search, 0.024638584000058472, 1000
50, Random Search, 0.022734704001777573, 1000
100, Random Search, 0.040346418998524314, 1000
100, Random Search, 0.041685502998006996, 1000
100, Random Search, 0.03972055699705379, 1000
100, Random Search, 0.03836429199873237, 1000
100, Random Search, 0.0393737729973509, 1000
500, Random Search, 0.16898209700229927, 1000
500, Random Search, 0.16963305600074818, 1000
500, Random Search, 0.08364193699890166, 1000
500, Random Search, 0.16788103699946078, 1000
500, Random Search, 0.17473359500218066, 1000
1000, Random Search, 0.2492646370010334, 1000
1000, Random Search, 0.3353503870021086, 1000
1000, Random Search, 0.3361763420034549, 1000
1000, Random Search, 0.34101590100181056, 1000
1000, Random Search, 0.3293952399981208, 1000
1500, Random Search, 0.23512601399852429, 1000
1500, Random Search, 0.5002318000006198, 1000
1500, Random Search, 0.5183549749999656, 1000
1500, Random Search, 0.5199376220007252, 1000
1500, Random Search, 0.515903947998595, 1000

Size, Algo, Time, MAX_threshold
10, Hill Climbing, 0.009089858001971152, 1000
10, Hill Climbing, 0.009445288000279106, 1000
10, Hill Climbing, 0.009057865998329362, 1000
10, Hill Climbing, 0.00933512499977951, 1000
10, Hill Climbing, 0.013089002000924665, 1000
50, Hill Climbing, 0.01223452699923655, 1000
50, Hill Climbing, 0.009671671999967657, 1000
50, Hill Climbing, 0.01096902700010105, 1000
50, Hill Climbing, 0.01212551199932932, 1000
50, Hill Climbing, 0.009408236997842323, 1000
100, Hill Climbing, 0.018582705000881106, 1000
100, Hill Climbing, 0.012630708999495255, 1000
100, Hill Climbing, 0.01295321799989324, 1000
100, Hill Climbing, 0.012248520000866847, 1000
100, Hill Climbing, 0.013250013998913346, 1000
500, Hill Climbing, 0.020648121000704123, 1000
500, Hill Climbing, 0.025288134998845635, 1000
500, Hill Climbing, 0.02750515300067491, 1000
500, Hill Climbing, 0.01931329299986828, 1000
500, Hill Climbing, 0.02768309000020963, 1000
1000, Hill Climbing, 0.030282414001703728, 1000
1000, Hill Climbing, 0.03454578800301533, 1000
1000, Hill Climbing, 0.03345589499804191, 1000
1000, Hill Climbing, 0.03184607500224956, 1000
1000, Hill Climbing, 0.030676368998683756, 1000
1500, Hill Climbing, 0.03188656099882792, 1000
1500, Hill Climbing, 0.0426756220003881, 1000
1500, Hill Climbing, 0.046052959998633014, 1000
1500, Hill Climbing, 0.044675483000901295, 1000
1500, Hill Climbing, 0.046423623000009684, 1000

Size, Algo, Time, MAX_threshold
10, Simulated Annealing, 0.009647459002735559, 1000
