Random,Greedy,hill_climbing,simulated_annealing
7.166945589700000000e+10,3.220945658000000000e+09,3.009834650000000000e+08,7.679231440000000000e+08
9.787320281000000000e+09,3.207720449000000000e+09,1.127741310000000000e+08,9.343488909000000000e+09
3.925641116500000000e+10,6.030612231000000000e+09,7.349950750000000000e+08,3.133385331000000000e+09
3.765782347100000000e+10,8.911249002000000000e+09,6.150741817000000000e+09,8.276656730000000000e+09
3.405624100000000000e+09,1.289952878000000000e+09,4.975662430000000000e+08,9.184399090000000000e+08
1.950120061000000000e+09,6.952420620000000000e+08,1.247965558000000000e+09,4.636642044000000000e+09
1.947282079500000000e+10,2.196626269000000000e+09,6.388117805000000000e+09,7.189638060000000000e+08
1.165578119300000000e+10,1.740476403000000000e+09,3.006553850000000000e+08,7.313198125000000000e+09
4.543139861300000000e+10,2.870797010000000000e+09,1.399133973000000000e+09,2.243551506000000000e+09
1.357202435100000000e+10,1.443885312100000000e+10,2.545588443000000000e+09,2.921804220000000000e+08
1.565411287500000000e+10,2.395438790000000000e+09,1.223741498000000000e+10,1.018519908000000000e+09
2.917396992500000000e+10,2.097622056000000000e+09,2.604329555000000000e+09,1.003188563000000000e+09
7.195637689000000000e+09,4.576589247000000000e+09,1.931253847000000000e+09,2.295971468000000000e+09
4.093020686000000000e+09,6.238613334000000000e+09,1.922001270000000000e+08,2.218708023000000000e+09
5.310062034000000000e+09,1.758554938000000000e+09,4.958079310000000000e+08,1.057310616000000000e+09
2.174306089000000000e+09,4.929935200000000000e+08,1.309437089000000000e+09,1.194107942000000000e+10
5.312596531200000000e+10,5.189348578000000000e+09,1.763959667000000000e+09,6.476273160000000000e+08
3.178402934400000000e+10,1.574380510000000000e+08,3.345308778000000000e+09,4.030205990000000000e+08
2.265600778400000000e+10,2.723389470000000000e+08,3.193733740000000000e+08,1.310476916100000000e+10
3.458437886800000000e+10,2.928086373000000000e+09,6.531174830000000000e+08,1.895337531000000000e+09
1.832187801100000000e+10,5.577276220000000000e+08,1.210012275000000000e+09,6.073270859000000000e+09
2.869675885400000000e+10,8.896511120000000000e+08,3.722136300000000000e+08,3.406177891000000000e+09
5.371786964000000000e+09,1.162792341900000000e+10,1.204720000000000000e+07,1.350557865300000000e+10
4.559796857800000000e+10,4.694723174000000000e+09,1.339370150000000000e+08,9.025125830000000000e+08
7.265604007700000000e+10,1.712105002000000000e+09,7.061299017000000000e+09,1.293465382700000000e+10
4.938359383900000000e+10,3.708065470000000000e+08,3.367694368000000000e+09,4.606475266000000000e+09
1.561245797000000000e+09,1.340930681000000000e+09,1.115236810000000000e+09,2.108923036500000000e+10
5.991978141000000000e+09,4.906255601000000000e+09,3.248823821000000000e+09,2.159405600000000000e+09
2.994633530900000000e+10,7.059727274000000000e+09,2.257939176000000000e+09,3.210161802000000000e+09
2.127137965500000000e+10,7.788089792000000000e+09,4.829234410000000000e+08,7.222892407000000000e+09
6.378929708800000000e+10,1.218800241000000000e+09,2.518777126000000000e+09,2.213870137000000000e+09
2.521549732600000000e+10,2.558699176400000000e+10,1.642341542000000000e+09,3.766777657000000000e+09
1.200674336000000000e+10,9.253781700000000000e+07,8.118174100000000000e+07,4.140467672000000000e+09
1.776144602200000000e+10,1.210755439000000000e+09,4.948924327000000000e+09,4.859713627000000000e+09
7.845351243000000000e+09,3.586761380000000000e+08,4.814820540000000000e+08,2.479030010000000000e+08
3.388653425200000000e+10,5.411877740000000000e+08,4.915760020000000000e+08,2.276224836000000000e+09
2.668044771100000000e+10,1.191789723000000000e+09,6.278254100000000000e+08,9.406503661000000000e+09
9.582982798000000000e+09,1.580926541000000000e+09,1.179255685000000000e+09,3.657537614000000000e+09
1.895641524000000000e+10,1.726861516000000000e+09,1.323662202000000000e+09,1.847900580000000000e+09
2.472564752000000000e+09,1.382817875700000000e+10,1.733821600000000000e+07,4.520877190000000000e+08
2.677933122600000000e+10,2.254250369000000000e+09,6.170815377000000000e+09,1.156522461700000000e+10
3.981512093100000000e+10,2.853843783000000000e+09,2.040882652000000000e+09,1.319808497000000000e+09
5.601480144000000000e+09,1.995229889000000000e+09,2.729929386000000000e+09,2.597562150000000000e+09
8.178051594700000000e+10,2.499156975000000000e+09,2.875082580000000000e+08,3.295804240000000000e+08
2.316375508400000000e+10,9.255062735000000000e+09,4.689867052000000000e+09,3.409476049000000000e+09
2.575770629100000000e+10,3.591828080000000000e+08,8.866626000000000000e+06,2.049158550000000000e+08
2.988507108300000000e+10,5.693934305000000000e+09,4.775725535000000000e+09,3.772567631000000000e+09
5.239986150000000000e+08,4.968364771000000000e+09,8.127760900000000000e+07,4.158969736000000000e+09
2.470431158800000000e+10,2.009183282000000000e+10,6.251051800000000000e+08,2.094493860000000000e+08
6.244347289500000000e+10,1.378991917000000000e+09,3.250020601000000000e+09,5.110271990000000000e+09
