Size, Algo, Time
10, Greedy Search, 2.2233001800486818e-05
10, Greedy Search, 1.8426999304210767e-05
10, Greedy Search, 1.686499672359787e-05
10, Greedy Search, 4.033900040667504e-05
10, Greedy Search, 2.530799974920228e-05
50, Greedy Search, 0.0001010249980026856
50, Greedy Search, 0.00010605300121824257
50, Greedy Search, 0.0001025789970299229
50, Greedy Search, 7.14980014890898e-05
50, Greedy Search, 5.8432000514585525e-05
100, Greedy Search, 0.00014885800192132592
100, Greedy Search, 0.00014336599997477606
100, Greedy Search, 0.00017258799925912172
100, Greedy Search, 0.00020965600197087042
100, Greedy Search, 0.00013801299792248756
500, Greedy Search, 0.003125850998912938
500, Greedy Search, 0.003081840997765539
500, Greedy Search, 0.002262008001707727
500, Greedy Search, 0.00233381699945312
500, Greedy Search, 0.003106849002506351
1000, Greedy Search, 0.009493910998571664
1000, Greedy Search, 0.007212183998490218
1000, Greedy Search, 0.007961848001286853
1000, Greedy Search, 0.012046020998241147
1000, Greedy Search, 0.011651195000013104
1500, Greedy Search, 0.020383062998007517
1500, Greedy Search, 0.017730761002894724
1500, Greedy Search, 0.014916717002051882
1500, Greedy Search, 0.015697501999966335
1500, Greedy Search, 0.016908560999581823

Size, Algo, Time, MAX_threshold
10, Random Search, 0.012036669999361038, 1000
10, Random Search, 0.00894392700138269, 1000
10, Random Search, 0.007927342998300446, 1000
10, Random Search, 0.008420736001426121, 1000
10, Random Search, 0.008273957002529642, 1000
50, Random Search, 0.02502092099894071, 1000
50, Random Search, 0.02642247500261874, 1000
50, Random Search, 0.02821566099737538, 1000
50, Random Search, 0.023909259998617927, 1000
50, Random Search, 0.023182567998446757, 1000
100, Random Search, 0.03897572399728233, 1000
100, Random Search, 0.05266833899804624, 1000
100, Random Search, 0.043289828001434216, 1000
100, Random Search, 0.04248181900038617, 1000
100, Random Search, 0.04156079300082638, 1000
500, Random Search, 0.1659127080019971, 1000
500, Random Search, 0.1698011820008105, 1000
500, Random Search, 0.17001989199707168, 1000
500, Random Search, 0.17249855100089917, 1000
500, Random Search, 0.1707028929995431, 1000
1000, Random Search, 0.33525886200004607, 1000
1000, Random Search, 0.3378514690011798, 1000
1000, Random Search, 0.3452257360004296, 1000
1000, Random Search, 0.32854233100079, 1000
1000, Random Search, 0.33349088900286006, 1000
1500, Random Search, 0.502129034997779, 1000
1500, Random Search, 0.5325336630012316, 1000
1500, Random Search, 0.5078774450012133, 1000
1500, Random Search, 0.540764854002191, 1000
1500, Random Search, 0.5306539160010288, 1000

Size, Algo, Time, MAX_threshold
10, Hill Climbing, 0.008662915999593679, 1000
10, Hill Climbing, 0.009086652000405593, 1000
10, Hill Climbing, 0.009739080996951088, 1000
10, Hill Climbing, 0.008184515001630643, 1000
10, Hill Climbing, 0.008982817998912651, 1000
50, Hill Climbing, 0.012174154002423165, 1000
50, Hill Climbing, 0.013171004000469111, 1000
50, Hill Climbing, 0.01091768300102558, 1000
50, Hill Climbing, 0.028979314996831818, 1000
50, Hill Climbing, 0.016239394000876928, 1000
100, Hill Climbing, 0.02163157399991178, 1000
100, Hill Climbing, 0.017807091000577202, 1000
100, Hill Climbing, 0.017700373999105068, 1000
100, Hill Climbing, 0.014342226000735536, 1000
100, Hill Climbing, 0.014781660996959545, 1000
500, Hill Climbing, 0.02421746400068514, 1000
500, Hill Climbing, 0.02930588300296222, 1000
500, Hill Climbing, 0.030889035999280168, 1000
500, Hill Climbing, 0.026653364999219775, 1000
500, Hill Climbing, 0.029862295999919297, 1000
1000, Hill Climbing, 0.04116498100120225, 1000
1000, Hill Climbing, 0.034471899998607114, 1000
1000, Hill Climbing, 0.030919399996491848, 1000
1000, Hill Climbing, 0.024807522000628524, 1000
1000, Hill Climbing, 0.050772038997820346, 1000
1500, Hill Climbing, 0.040199102000769926, 1000
1500, Hill Climbing, 0.0494184539966227, 1000
1500, Hill Climbing, 0.03829853500064928, 1000
1500, Hill Climbing, 0.054221399001107784, 1000
1500, Hill Climbing, 0.03501769599824911, 1000

Size, Algo, Time, MAX_threshold
10, Simulated Annealing, 0.008568216999265132, 1000
10, Simulated Annealing, 0.008757454001170117, 1000
10, Simulated Annealing, 0.01144467699850793, 1000
10, Simulated Annealing, 0.018931473001430277, 1000
10, Simulated Annealing, 0.011628599000687245, 1000
50, Simulated Annealing, 0.012385324997012503, 1000
50, Simulated Annealing, 0.01211240100019495, 1000
50, Simulated Annealing, 0.024961664999864297, 1000
50, Simulated Annealing, 0.024176734001230216, 1000
50, Simulated Annealing, 0.014759354999114294, 1000
100, Simulated Annealing, 0.013598066001577536, 1000
100, Simulated Annealing, 0.012867109002399957, 1000
100, Simulated Annealing, 0.013718488000449724, 1000
100, Simulated Annealing, 0.023490739997214405, 1000
100, Simulated Annealing, 0.02543125699958182, 1000
500, Simulated Annealing, 0.039761110998369986, 1000
500, Simulated Annealing, 0.021516966000490356, 1000
500, Simulated Annealing, 0.0218061609994038, 1000
500, Simulated Annealing, 0.0299311230010062, 1000
500, Simulated Annealing, 0.02691595100259292, 1000
1000, Simulated Annealing, 0.017589729999599513, 1000
1000, Simulated Annealing, 0.038625051001872635, 1000
1000, Simulated Annealing, 0.025065701996936696, 1000
1000, Simulated Annealing, 0.01849127000241424, 1000
1000, Simulated Annealing, 0.033788927998102736, 1000
1500, Simulated Annealing, 0.015887022997048916, 1000
1500, Simulated Annealing, 0.06044725600077072, 1000
1500, Simulated Annealing, 0.05229809699812904, 1000
1500, Simulated Annealing, 0.032913954000832746, 1000
1500, Simulated Annealing, 0.03529616399828228, 1000
